"matchId","team1Id","team1Name","team2Id","team2Name","startDate","endDate","groundId","groundName","groundLocation"
1422119,335970,"RCB",335974,"CSK","22-03-2024","22-03-2024",58008,"MA Chidambaram Stadium, Chepauk, Chennai","Chepauk"
1422120,335975,"DC",335973,"PBKS","23-03-2024","23-03-2024",1290799,"Maharaja Yadavindra Singh International Cricket Stadium, Mullanpur","NA"
1422121,335971,"KKR",628333,"SRH","23-03-2024","23-03-2024",57980,"Eden Gardens, Kolkata","NA"
1422122,335977,"RR",1298768,"LSG","24-03-2024","24-03-2024",58162,"Sawai Mansingh Stadium, Jaipur","NA"
1422123,1298769,"GT",335978,"MI","24-03-2024","24-03-2024",57851,"Narendra Modi Stadium, Ahmedabad","Motera"
1422124,335973,"PBKS",335970,"RCB","25-03-2024","25-03-2024",57897,"M Chinnaswamy Stadium, Bengaluru","NA"
1422125,335974,"CSK",1298769,"GT","26-03-2024","26-03-2024",58008,"MA Chidambaram Stadium, Chepauk, Chennai","Chepauk"
1422126,628333,"SRH",335978,"MI","27-03-2024","27-03-2024",58142,"Rajiv Gandhi International Stadium, Uppal, Hyderabad","NA"
1422127,335977,"RR",335975,"DC","28-03-2024","28-03-2024",58162,"Sawai Mansingh Stadium, Jaipur","NA"
1422128,335970,"RCB",335971,"KKR","29-03-2024","29-03-2024",57897,"M Chinnaswamy Stadium, Bengaluru","NA"
1422129,1298768,"LSG",335973,"PBKS","30-03-2024","30-03-2024",1070094,"Bharat Ratna Shri Atal Bihari Vajpayee Ekana Cricket Stadium, Lucknow","NA"
1422130,628333,"SRH",1298769,"GT","31-03-2024","31-03-2024",57851,"Narendra Modi Stadium, Ahmedabad","Motera"
1422131,335975,"DC",335974,"CSK","31-03-2024","31-03-2024",58547,"Dr. Y.S. Rajasekhara Reddy ACA-VDCA Cricket Stadium, Visakhapatnam","Pothanamallayapalam"
1422132,335978,"MI",335977,"RR","01-04-2024","01-04-2024",58324,"Wankhede Stadium, Mumbai","NA"
1422133,1298768,"LSG",335970,"RCB","02-04-2024","02-04-2024",57897,"M Chinnaswamy Stadium, Bengaluru","NA"
1422134,335971,"KKR",335975,"DC","03-04-2024","03-04-2024",58547,"Dr. Y.S. Rajasekhara Reddy ACA-VDCA Cricket Stadium, Visakhapatnam","Pothanamallayapalam"
1422135,1298769,"GT",335973,"PBKS","04-04-2024","04-04-2024",57851,"Narendra Modi Stadium, Ahmedabad","Motera"
1422136,335974,"CSK",628333,"SRH","05-04-2024","05-04-2024",58142,"Rajiv Gandhi International Stadium, Uppal, Hyderabad","NA"
1422137,335970,"RCB",335977,"RR","06-04-2024","06-04-2024",58162,"Sawai Mansingh Stadium, Jaipur","NA"
1422138,335978,"MI",335975,"DC","07-04-2024","07-04-2024",58324,"Wankhede Stadium, Mumbai","NA"
1422139,1298768,"LSG",1298769,"GT","07-04-2024","07-04-2024",1070094,"Bharat Ratna Shri Atal Bihari Vajpayee Ekana Cricket Stadium, Lucknow","NA"
1426260,335971,"KKR",335974,"CSK","08-04-2024","08-04-2024",58008,"MA Chidambaram Stadium, Chepauk, Chennai","Chepauk"
1426261,628333,"SRH",335973,"PBKS","09-04-2024","09-04-2024",1290799,"Maharaja Yadavindra Singh International Cricket Stadium, Mullanpur","NA"
1426262,335977,"RR",1298769,"GT","10-04-2024","10-04-2024",58162,"Sawai Mansingh Stadium, Jaipur","NA"
1426263,335970,"RCB",335978,"MI","11-04-2024","11-04-2024",58324,"Wankhede Stadium, Mumbai","NA"
1426264,1298768,"LSG",335975,"DC","12-04-2024","12-04-2024",1070094,"Bharat Ratna Shri Atal Bihari Vajpayee Ekana Cricket Stadium, Lucknow","NA"
1426265,335973,"PBKS",335977,"RR","13-04-2024","13-04-2024",1290799,"Maharaja Yadavindra Singh International Cricket Stadium, Mullanpur","NA"
1426266,1298768,"LSG",335971,"KKR","14-04-2024","14-04-2024",57980,"Eden Gardens, Kolkata","NA"
1426267,335974,"CSK",335978,"MI","14-04-2024","14-04-2024",58324,"Wankhede Stadium, Mumbai","NA"
1426268,628333,"SRH",335970,"RCB","15-04-2024","15-04-2024",57897,"M Chinnaswamy Stadium, Bengaluru","NA"
1426269,335971,"KKR",335977,"RR","16-04-2024","16-04-2024",57980,"Eden Gardens, Kolkata","NA"
1426270,1298769,"GT",335975,"DC","17-04-2024","17-04-2024",57851,"Narendra Modi Stadium, Ahmedabad","Motera"
1426271,335978,"MI",335973,"PBKS","18-04-2024","18-04-2024",1290799,"Maharaja Yadavindra Singh International Cricket Stadium, Mullanpur","NA"
1426272,335974,"CSK",1298768,"LSG","19-04-2024","19-04-2024",1070094,"Bharat Ratna Shri Atal Bihari Vajpayee Ekana Cricket Stadium, Lucknow","NA"
1426273,628333,"SRH",335975,"DC","20-04-2024","20-04-2024",58040,"Arun Jaitley Stadium, Delhi","NA"
1426274,335971,"KKR",335970,"RCB","21-04-2024","21-04-2024",57980,"Eden Gardens, Kolkata","NA"
1426275,335973,"PBKS",1298769,"GT","21-04-2024","21-04-2024",1290799,"Maharaja Yadavindra Singh International Cricket Stadium, Mullanpur","NA"
1426276,335978,"MI",335977,"RR","22-04-2024","22-04-2024",58162,"Sawai Mansingh Stadium, Jaipur","NA"
1426277,335974,"CSK",1298768,"LSG","23-04-2024","23-04-2024",58008,"MA Chidambaram Stadium, Chepauk, Chennai","Chepauk"
1426278,335975,"DC",1298769,"GT","24-04-2024","24-04-2024",58040,"Arun Jaitley Stadium, Delhi","NA"
1426279,335970,"RCB",628333,"SRH","25-04-2024","25-04-2024",58142,"Rajiv Gandhi International Stadium, Uppal, Hyderabad","NA"
1426280,335971,"KKR",335973,"PBKS","26-04-2024","26-04-2024",57980,"Eden Gardens, Kolkata","NA"
1426281,335975,"DC",335978,"MI","27-04-2024","27-04-2024",58040,"Arun Jaitley Stadium, Delhi","NA"
1426282,1298768,"LSG",335977,"RR","27-04-2024","27-04-2024",1070094,"Bharat Ratna Shri Atal Bihari Vajpayee Ekana Cricket Stadium, Lucknow","NA"
1426283,1298769,"GT",335970,"RCB","28-04-2024","28-04-2024",57851,"Narendra Modi Stadium, Ahmedabad","Motera"
