id,name,playingRoles,teamId,teamName,match,wickets,economy,five_wicket,bolwing_strike_rate,best_bolling_performance,runs,batting_avg,high_score,batting_strike_rate,bowling_avg,credit,image_url
1060380,RD Gaikwad,batsmen,335974,CSK,23,0,,,,,633,39.56,123*,143.53,,9,"https://img1.hscicdn.com/image/upload/f_auto,t_h_100_2x/lsci/db/PICTURES/CMS/322200/322236.1.png"
8917,MM Ali,allrounder,335974,CSK,92,51,8.31,0,19.5,3/24,1229,21.18,72*,142.41,27.13,8,"https://img1.hscicdn.com/image/upload/f_auto,t_h_100_2x/lsci/db/PICTURES/CMS/383100/383142.1.png"
1408675,Aravelly Avanish,wicketkeeper,335974,CSK,0,0,,,,,,,,,,7,"https://img1.hscicdn.com/image/upload/f_auto,t_h_100_2x/lsci/db/PICTURES/CMS/384200/384255.1.png"
447261,DL Chahar,bowler,335974,CSK,25,31,8.3,0,17.4,6/7,53,26.5,31,189.28,24.09,6,"https://img1.hscicdn.com/image/upload/f_auto,t_h_100_2x/lsci/db/PICTURES/CMS/322700/322704.1.png"
822553,TU Deshpande,bowler,335974,CSK,2,2,9.16,0,18,1/25,,,,,27.5,7,"https://img1.hscicdn.com/image/upload/f_auto,t_h_100_2x/lsci/db/PICTURES/CMS/386300/386339.5.png"
28081,MS Dhoni,wicketkeeper,335974,CSK,98,0,,,,,1617,37.6,56,126.13,,9,"https://img1.hscicdn.com/image/upload/f_auto,t_h_100_2x/lsci/db/PICTURES/CMS/319900/319946.3.png"
714451,S Dube,allrounder,335974,CSK,35,13,9.36,0,21.9,3/30,531,31.23,63*,140.1,34.23,9,"https://img1.hscicdn.com/image/upload/f_auto,t_h_100_2x/lsci/db/PICTURES/CMS/383700/383773.1.png"
473191,RJ Gleeson,bowler,335974,CSK,6,9,8.9,0,14,3/15,2,1,2,50,20.77,7,"https://img1.hscicdn.com/image/upload/f_auto,t_h_100_2x/lsci/db/PICTURES/CMS/324200/324238.1.png"
1175429,RS Hangargekar,allrounder,335974,CSK,0,0,,,,,,,,,,7,"https://img1.hscicdn.com/image/upload/f_auto,t_h_100_2x/lsci/db/PICTURES/CMS/339100/339157.1.png"
234675,RA Jadeja,allrounder,335974,CSK,74,54,7.13,0,25.1,3/15,515,21.45,46*,127.16,29.85,9,"https://img1.hscicdn.com/image/upload/f_auto,t_h_100_2x/lsci/db/PICTURES/CMS/316600/316600.2.png"
1059570,AJ Mandal,allrounder,335974,CSK,0,0,,,,,,,,,,7,"https://img1.hscicdn.com/image/upload/f_auto,t_h_100_2x/lsci/db/PICTURES/CMS/314900/314902.jpg"
381743,DJ Mitchell,allrounder,335974,CSK,70,9,10.59,0,11.8,2/27,1411,26.62,72*,139.28,21,9,"https://img1.hscicdn.com/image/upload/f_auto,t_h_100_2x/lsci/db/PICTURES/CMS/383100/383147.2.png"
1125688,Mukesh Choudhary,bowler,335974,CSK,0,0,,,,,,,,,,7,"https://img1.hscicdn.com/image/upload/f_auto,t_h_100_2x/lsci/db/PICTURES/CMS/356800/356834.1.png"
330902,Mustafizur Rahman,bowler,335974,CSK,106,132,7.51,3,17.2,6/10,87,4.57,15,74.35,21.62,6,"https://img1.hscicdn.com/image/upload/f_auto,t_h_100_2x/lsci/db/PICTURES/CMS/319700/319734.3.png"
277916,AM Rahane,batsmen,335974,CSK,20,0,,,,,375,20.83,61,113.29,,9,"https://img1.hscicdn.com/image/upload/f_auto,t_h_100_2x/lsci/db/PICTURES/CMS/316600/316620.3.png"
1292497,SK Rasheed,batsmen,335974,CSK,0,0,,,,,,,,,,7,"https://img1.hscicdn.com/image/upload/f_auto,t_h_100_2x/lsci/db/PICTURES/CMS/345000/345086.1.png"
959767,R Ravindra,allrounder,335974,CSK,26,13,6.58,0,18.9,3/22,309,17.16,69,127.68,20.76,9,"https://img1.hscicdn.com/image/upload/f_auto,t_h_100_2x/lsci/db/PICTURES/CMS/383100/383182.1.png"
1175489,Sameer Rizvi,batsmen,335974,CSK,0,0,,,,,,,,,,7,"https://img1.hscicdn.com/image/upload/f_auto,t_h_100_2x/lsci/db/PICTURES/CMS/378000/378091.1.png"
502714,MJ Santner,allrounder,335974,CSK,109,120,7.03,3,18.9,4/11,725,16.86,77*,120.23,22.17,7,"https://img1.hscicdn.com/image/upload/f_auto,t_h_100_2x/lsci/db/PICTURES/CMS/383100/383180.1.png"
1159722,Simarjeet Singh,bowler,335974,CSK,0,0,,,,,,,,,,7,"https://img1.hscicdn.com/image/upload/f_auto,t_h_100_2x/lsci/db/PICTURES/CMS/356800/356835.1.png"
1292506,N Sindhu,allrounder,335974,CSK,0,0,,,,,,,,,,7,"https://img1.hscicdn.com/image/upload/f_auto,t_h_100_2x/lsci/db/PICTURES/CMS/345000/345097.1.png"
1252337,PH Solanki,bowler,335974,CSK,0,0,,,,,,,,,,7,"https://img1.hscicdn.com/image/upload/f_auto,t_h_100_2x/lsci/db/PICTURES/CMS/356800/356836.1.png"
475281,SN Thakur,bowler,335974,CSK,25,33,9.15,1,15.3,4/27,69,23,22*,181.57,23.39,8,"https://img1.hscicdn.com/image/upload/f_auto,t_h_100_2x/lsci/db/PICTURES/CMS/322600/322696.1.png"
1138316,M Theekshana,bowler,335974,CSK,60,58,6.87,0,23.1,3/17,66,3.88,14,64.07,26.56,8,"https://img1.hscicdn.com/image/upload/f_auto,t_h_100_2x/lsci/db/PICTURES/CMS/347800/347825.1.png"
379140,DP Conway,wicketkeeper,335974,CSK,50,0,,,,,1408,38.05,99*,127.76,,7,"https://img1.hscicdn.com/image/upload/f_auto,t_h_100_2x/lsci/db/PICTURES/CMS/383100/383148.1.png"
1194795,M Pathirana,bowler,335974,CSK,19,30,8.44,2,11.4,4/24,17,3.4,6,53.12,16.13,6,"https://img1.hscicdn.com/image/upload/f_auto,t_h_100_2x/lsci/db/PICTURES/CMS/355400/355402.1.png"
931581,RR Pant,wicketkeeper,335975,DC,76,0,,,,,1209,23.25,65*,127.26,,9,"https://img1.hscicdn.com/image/upload/f_auto,t_h_100_2x/lsci/db/PICTURES/CMS/323000/323036.1.png"
1277545,Abishek Porel,wicketkeeper,335975,DC,0,0,,,,,,,,,,7,"https://img1.hscicdn.com/image/upload/f_auto,t_h_100_2x/lsci/db/PICTURES/CMS/393400/393462.2.png"
942645,KK Ahmed,bowler,335975,DC,18,16,8.51,0,24.7,2/27,1,,1*,50,35.12,8,"https://img1.hscicdn.com/image/upload/f_auto,t_h_100_2x/lsci/db/PICTURES/CMS/322200/322268.1.png"
642531,RK Bhui,batsmen,335975,DC,0,0,,,,,,,,,,9,"https://img1.hscicdn.com/image/upload/f_auto,t_h_100_2x/lsci/db/PICTURES/CMS/314800/314834.jpg"
1403198,SS Chikara,batsmen,335975,DC,0,0,,,,,,,,,,7,"https://img1.hscicdn.com/image/upload/f_auto,t_h_100_2x/lsci/db/PICTURES/CMS/380600/380668.1.png"
1292498,YV Dhull,batsmen,335975,DC,0,0,,,,,,,,,,7,"https://img1.hscicdn.com/image/upload/f_auto,t_h_100_2x/lsci/db/PICTURES/CMS/339100/339162.1.png"
777515,P Dubey,bowler,335975,DC,0,0,,,,,,,,,,7,"https://img1.hscicdn.com/image/upload/f_auto,t_h_100_2x/lsci/db/PICTURES/CMS/310700/310753.jpg"
1168049,J Fraser-McGurk,batsmen,335975,DC,7,0,,,,,113,16.14,50,143.03,,8,"https://img1.hscicdn.com/image/upload/f_auto,t_h_100_2x/lsci/db/PICTURES/CMS/387500/387523.6.png"
581379,SD Hope,wicketkeeper,335975,DC,39,0,,,,,847,26.46,82*,138.39,,9,"https://img1.hscicdn.com/image/upload/f_auto,t_h_100_2x/lsci/db/PICTURES/CMS/320100/320122.1.png"
559235,Kuldeep Yadav,bowler,335975,DC,40,69,6.77,1,12.4,5/17,46,11.5,23*,77.96,14.07,7,"https://img1.hscicdn.com/image/upload/f_auto,t_h_100_2x/lsci/db/PICTURES/CMS/319900/319943.2.png"
1207295,K Kushagra,wicketkeeper,335975,DC,0,0,,,,,,,,,,8,"https://img1.hscicdn.com/image/upload/f_auto,t_h_100_2x/lsci/db/PICTURES/CMS/378100/378131.1.png"
930189,Lalit Yadav,allrounder,335975,DC,0,0,,,,,,,,,,7,"https://img1.hscicdn.com/image/upload/f_auto,t_h_100_2x/lsci/db/PICTURES/CMS/386300/386337.5.png"
272450,MR Marsh,allrounder,335975,DC,65,17,7.74,0,17.6,3/24,1629,31.94,92*,135.41,22.76,9,"https://img1.hscicdn.com/image/upload/f_auto,t_h_100_2x/lsci/db/PICTURES/CMS/385700/385798.1.png"
926851,Mukesh Kumar,bowler,335975,DC,17,20,9.01,1,16.2,4/22,5,5,4*,100,24.35,6,"https://img1.hscicdn.com/image/upload/f_auto,t_h_100_2x/lsci/db/PICTURES/CMS/373900/373907.1.png"
481979,A Nortje,bowler,335975,DC,42,53,7.01,3,16.3,4/7,17,2.83,4*,48.57,19.16,7,"https://img1.hscicdn.com/image/upload/f_auto,t_h_100_2x/lsci/db/PICTURES/CMS/322000/322080.1.png"
1292520,VK Ostwal,bowler,335975,DC,0,0,,,,,,,,,,7,"https://img1.hscicdn.com/image/upload/f_auto,t_h_100_2x/lsci/db/PICTURES/CMS/339100/339161.1.png"
554691,AR Patel,allrounder,335975,DC,71,71,7.3,0,18.1,3/9,535,18.44,65,139.32,22.12,9,"https://img1.hscicdn.com/image/upload/f_auto,t_h_100_2x/lsci/db/PICTURES/CMS/331100/331164.2.png"
1161489,Rasikh Salam,bowler,335975,DC,0,0,,,,,,,,,,7,"https://img1.hscicdn.com/image/upload/f_auto,t_h_100_2x/lsci/db/PICTURES/CMS/341000/341040.1.png"
774223,JA Richardson,bowler,335975,DC,18,19,8.42,0,20.8,3/26,45,15,11,88.23,29.26,6,"https://img1.hscicdn.com/image/upload/f_auto,t_h_100_2x/lsci/db/PICTURES/CMS/321500/321591.3.png"
236779,I Sharma,bowler,335975,DC,14,8,8.63,0,34.7,2/34,8,8,5*,88.88,50,6,"https://img1.hscicdn.com/image/upload/f_auto,t_h_100_2x/lsci/db/PICTURES/CMS/316600/316602.3.png"
1070168,PP Shaw,batsmen,335975,DC,1,0,,,,,0,,0,0,,8,"https://img1.hscicdn.com/image/upload/f_auto,t_h_100_2x/lsci/db/PICTURES/CMS/322600/322622.1.png"
595978,T Stubbs,batsmen,335975,DC,35,0,20.5,0,,,670,29.13,76,134.8,,7,"https://img1.hscicdn.com/image/upload/f_auto,t_h_100_2x/lsci/db/PICTURES/CMS/348500/348577.1.png"
1159734,Sumit Kumar,allrounder,335975,DC,0,0,,,,,,,,,,7,"https://img1.hscicdn.com/image/upload/f_auto,t_h_100_2x/lsci/db/PICTURES/CMS/380600/380669.1.png"
219889,DA Warner,batsmen,335975,DC,110,0,,,,,3277,33.43,100*,142.47,,9,"https://img1.hscicdn.com/image/upload/f_auto,t_h_100_2x/lsci/db/PICTURES/CMS/316500/316589.1.png"
379887,LB Williams,bowler,335975,DC,15,20,9.5,0,15.5,3/35,6,1.5,2*,35.29,24.55,7,"https://img1.hscicdn.com/image/upload/f_auto,t_h_100_2x/lsci/db/PICTURES/CMS/329700/329749.1.png"
911707,HC Brook,batsmen,335975,DC,44,0,,,,,798,28.5,81*,146.15,,7,"https://img1.hscicdn.com/image/upload/f_auto,t_h_100_2x/lsci/db/PICTURES/CMS/383100/383145.1.png"
542023,L Ngidi,bowler,335975,DC,43,63,9.23,2,13.6,5/39,41,8.2,13*,78.84,20.93,7,"https://img1.hscicdn.com/image/upload/f_auto,t_h_100_2x/lsci/db/PICTURES/CMS/322000/322069.1.png"
1070173,Shubman Gill,batsmen,1298769,GT,21,0,,,,,578,30.42,126*,139.27,,7,"https://img1.hscicdn.com/image/upload/f_auto,t_h_100_2x/lsci/db/PICTURES/CMS/322600/322697.1.png"
819429,Azmatullah Omarzai,allrounder,1298769,GT,47,31,8.37,1,21.6,4/9,474,14.36,34,111,30.16,7,"https://img1.hscicdn.com/image/upload/f_auto,t_h_100_2x/lsci/db/PICTURES/CMS/383200/383229.1.png"
1287033,Gurnoor Brar,bowler,1298769,GT,0,0,,,,,,,,,,7,"https://img1.hscicdn.com/image/upload/f_auto,t_h_100_2x/lsci/db/PICTURES/CMS/359700/359764.1.png"
1123718,SH Johnson,bowler,1298769,GT,8,14,8.96,0,11.4,5/26,0,,0,0,17.07,6,"https://img1.hscicdn.com/image/upload/f_auto,t_h_100_2x/lsci/db/PICTURES/CMS/390900/390920.2.png"
1122918,Kartik Tyagi,bowler,1298769,GT,0,0,,,,,,,,,,7,"https://img1.hscicdn.com/image/upload/f_auto,t_h_100_2x/lsci/db/PICTURES/CMS/339100/339150.1.png"
928067,JB Little,bowler,1298769,GT,69,78,7.5,2,19.5,4/23,131,10.91,22*,85.62,24.48,7,"https://img1.hscicdn.com/image/upload/f_auto,t_h_100_2x/lsci/db/PICTURES/CMS/367800/367860.1.png"
778963,A Manohar,allrounder,1298769,GT,0,0,,,,,,,,,,7,Image data not found
321777,DA Miller,batsmen,1298769,GT,130,0,,,,,2591,33.21,106*,140.66,,8,"https://img1.hscicdn.com/image/upload/f_auto,t_h_100_2x/lsci/db/PICTURES/CMS/316600/316655.1.png"
1111917,DG Nalkande,bowler,1298769,GT,0,0,,,,,,,,,,6,"https://img1.hscicdn.com/image/upload/f_auto,t_h_100_2x/lsci/db/PICTURES/CMS/357400/357411.3.png"
1182529,Noor Ahmad,bowler,1298769,GT,14,7,6.94,1,32.5,4/10,41,6.83,12,77.35,37.71,8,"https://img1.hscicdn.com/image/upload/f_auto,t_h_100_2x/lsci/db/PICTURES/CMS/383200/383239.1.png"
793463,Rashid Khan,allrounder,1298769,GT,96,161,6.08,8,13.6,5/3,467,13.73,48*,126.21,13.8,7,"https://img1.hscicdn.com/image/upload/f_auto,t_h_100_2x/lsci/db/PICTURES/CMS/383200/383228.1.png"
279810,WP Saha,wicketkeeper,1298769,GT,0,0,,,,,,,,,,8,"https://img1.hscicdn.com/image/upload/f_auto,t_h_100_2x/lsci/db/PICTURES/CMS/323000/323033.1.png"
1048739,R Sai Kishore,bowler,1298769,GT,3,4,5.25,0,18,3/12,,,,,15.75,7,"https://img1.hscicdn.com/image/upload/f_auto,t_h_100_2x/lsci/db/PICTURES/CMS/362500/362558.6.png"
1151288,B Sai Sudharsan,batsmen,1298769,GT,1,0,,,,,,,,,,7,"https://img1.hscicdn.com/image/upload/f_auto,t_h_100_2x/lsci/db/PICTURES/CMS/390600/390648.2.png"
